id,created_at,text,retweet_count,urls,hashtags,user_mentions,favorite_count,in_reply_to_status_id
561579153607364609,Sat Jan 31 17:37:58 +0000 2015,South Bend Police held a physical test for new recruits this morning. Force is now hiring: http://t.co/EgymGt8hl7 http://t.co/IMY0PZmkPX,0,"[{u'url': u'http://t.co/EgymGt8hl7', u'indices': [91, 113], u'expanded_url': u'http://bit.ly/1DhP8zk', u'display_url': u'bit.ly/1DhP8zk'}]",[],[],0,
561572865150291968,Sat Jan 31 17:12:59 +0000 2015,"RT @CarlDeff: #Pitt hit its first five shots. But Zach Auguste already has 6 points, #NotreDame trails 11-8 early on.",3,[],"[{u'indices': [14, 19], u'text': u'Pitt'}, {u'indices': [85, 95], u'text': u'NotreDame'}]","[{u'id': 42933865, u'indices': [3, 12], u'id_str': u'42933865', u'screen_name': u'CarlDeff', u'name': u'Carl Deffenbaugh'}]",0,
561572042781507586,Sat Jan 31 17:09:43 +0000 2015,"RT @MattRudkinWSBT: Extremely confident in major snowstorm. In fact, may raise totals a bit. Be prepared and stay off roads beginning tonig…",9,[],[],"[{u'id': 783206244, u'indices': [3, 18], u'id_str': u'783206244', u'screen_name': u'MattRudkinWSBT', u'name': u'Matt Rudkin WSBT'}]",0,
561569091946049537,Sat Jan 31 16:57:59 +0000 2015,RT @CarlDeff: On Gameday @SethOnHoops tabs #NotreDame's @ThatGrant22 as top guy in the country to take a last shot. Ability to create or ma…,2,[],"[{u'indices': [43, 53], u'text': u'NotreDame'}]","[{u'id': 42933865, u'indices': [3, 12], u'id_str': u'42933865', u'screen_name': u'CarlDeff', u'name': u'Carl Deffenbaugh'}, {u'id': 31514451, u'indices': [25, 37], u'id_str': u'31514451', u'screen_name': u'SethOnHoops', u'name': u'Seth Greenberg'}, {u'id': 269921949, u'indices': [56, 68], u'id_str': u'269921949', u'screen_name': u'ThatGrant22', u'name': u'Jerian Grant'}]",0,
561566666094821377,Sat Jan 31 16:48:21 +0000 2015,"To improve third-grade reading, a critical benchmark, Michigan may hold back more kids. 
http://t.co/TzbNOJ9Fa1 http://t.co/R1gIZoniFa",2,"[{u'url': u'http://t.co/TzbNOJ9Fa1', u'indices': [89, 111], u'expanded_url': u'http://bit.ly/1DqH8fM', u'display_url': u'bit.ly/1DqH8fM'}]",[],[],0,
561558115855126529,Sat Jan 31 16:14:22 +0000 2015,RT @AdamDerWSBT: Wrestling sectionals over at Mishawaka...we'll have highlights tonight on @WSBT http://t.co/iwI3xgyW34,1,[],[],"[{u'id': 25000489, u'indices': [3, 15], u'id_str': u'25000489', u'screen_name': u'AdamDerWSBT', u'name': u'Adam Derengowski'}, {u'id': 15483453, u'indices': [91, 96], u'id_str': u'15483453', u'screen_name': u'WSBT', u'name': u'WSBT '}]",0,
561552195372716032,Sat Jan 31 15:50:51 +0000 2015,"RT @CarlDeff: Relive all the Friday Hoop it Up highlights, including a big night for the fans in Michiana: http://t.co/cPGGFvCun9 http://t.…",1,"[{u'url': u'http://t.co/cPGGFvCun9', u'indices': [107, 129], u'expanded_url': u'http://bit.ly/1BBkX3Q', u'display_url': u'bit.ly/1BBkX3Q'}]",[],"[{u'id': 42933865, u'indices': [3, 12], u'id_str': u'42933865', u'screen_name': u'CarlDeff', u'name': u'Carl Deffenbaugh'}]",0,
561543393860677632,Sat Jan 31 15:15:52 +0000 2015,RT @EdRussoWSBT: 10 AM #Facebook video update on the #SuperBowl #Sunday Winter Storm. #INWX #MIWX #LakeMichigan #GreatLakes https://t.co/6a…,1,"[{u'url': u'https://t.co/6a8ISKWp0d', u'indices': [139, 140], u'expanded_url': u'https://www.facebook.com/video.php?v=787823424628345&set=vb.179386248805402&type=2&theater', u'display_url': u'facebook.com/video.php?v=78…'}]","[{u'indices': [23, 32], u'text': u'Facebook'}, {u'indices': [53, 63], u'text': u'SuperBowl'}, {u'indices': [64, 71], u'text': u'Sunday'}, {u'indices': [86, 91], u'text': u'INWX'}, {u'indices': [92, 97], u'text': u'MIWX'}, {u'indices': [98, 111], u'text': u'LakeMichigan'}, {u'indices': [112, 123], u'text': u'GreatLakes'}]","[{u'id': 1257086462, u'indices': [3, 15], u'id_str': u'1257086462', u'screen_name': u'EdRussoWSBT', u'name': u'Ed Russo'}]",0,
561536604754702336,Sat Jan 31 14:48:54 +0000 2015,"RT @EdRussoWSBT: Updated snowfall map. 8-12"" will be common place across the entire area, even into southwest #Michigan. #INWX #MIWX http:/…",17,[],"[{u'indices': [110, 119], u'text': u'Michigan'}, {u'indices': [121, 126], u'text': u'INWX'}, {u'indices': [127, 132], u'text': u'MIWX'}]","[{u'id': 1257086462, u'indices': [3, 15], u'id_str': u'1257086462', u'screen_name': u'EdRussoWSBT', u'name': u'Ed Russo'}]",0,
561525131932364800,Sat Jan 31 14:03:18 +0000 2015,RT @southbendpolice: Do you have a winter storm strategy? Plan shopping and travel that will help keep you and family off roadways during t…,5,[],[],"[{u'id': 42423910, u'indices': [3, 19], u'id_str': u'42423910', u'screen_name': u'southbendpolice', u'name': u'South Bend Police'}]",0,
