timestamp,name,tweet,retweetCnt,hastags,urlsCnt,mentionsCnt
Tue Oct 28 20:25:54 +0000 2014,andrewmckinley6,"RT @RobertHandlery: HALO! I'm streaming Halo Master Chief Collection with @CTWatters tomorrow,10/29, 2pm PST @gamespot ... SO CLOSE! http:/…",21,[],0,3
Tue Oct 28 20:26:17 +0000 2014,_SoCal,Flipped out on these bitches playing music and the only one that was fighting back with me was the one dude,{},[],0,0
Tue Oct 28 20:27:04 +0000 2014,T_white_9,RT @Dis_Fridge: probably just gonna eat everything in @T_white_9 now..,1,[],0,2
Tue Oct 28 20:27:10 +0000 2014,T_white_9,@Dis_Fridge 😂😂😂😂😂,{},[],0,1
Tue Oct 28 20:27:15 +0000 2014,ObeyCody3,"RT @mckenna_hummel: Never judge a book by its cover, it's impossible to know the story without taking the time to read it. #NothingIsEverHo…",1,"[{u'indices': [123, 140], u'text': u'NothingIsEverHowItSeems'}]",0,1
Tue Oct 28 20:27:27 +0000 2014,SupaFlockaJames,RT @jcrock01: Every time I kill a spider I talk shit to it like we in the streets. TOLD YOU STAY OFF MY BLOCK HOMIE! NOW YOU BOUT TO GET DE…,2,[],0,1
Tue Oct 28 20:27:31 +0000 2014,T_white_9,http://t.co/Bs7CTnAXTN,{},[],0,0
Tue Oct 28 20:27:32 +0000 2014,SupaFlockaJames,@jcrock01 hahahahaha,{},[],0,1
Tue Oct 28 20:27:32 +0000 2014,RyannRedmond,"RT @RyanAColvin: Workplace Values: It Ain’t What You Do, It’s the Way That You Do It http://t.co/LIFBDQpY3x @TLNT_com #CompanyCulture",1,"[{u'indices': [118, 133], u'text': u'CompanyCulture'}]",1,2
Tue Oct 28 20:27:55 +0000 2014,SexyBoySlisz,This is fo them South Bend niggas!,{},[],0,0
Tue Oct 28 20:28:47 +0000 2014,BridgeteTaylor,Going for a run.,{},[],0,0
Tue Oct 28 20:28:53 +0000 2014,IndianaWxOnline,Halloween is going to be frigid! Temperatures Friday Evening &amp; Night down into the 20's &amp; 30's with flurries. #INwx http://t.co/cJQmY4mRRH,{},"[{u'indices': [118, 123], u'text': u'INwx'}]",0,0
Tue Oct 28 20:28:56 +0000 2014,mlocklear582,"RT @songsmemory: ""It's a beautiful night, we're looking for something dumb to do. Hey baby, I think I wanna marry you."" - Bruno Mars",10,[],0,1
,,{},{},{},0,0
Tue Oct 28 20:29:10 +0000 2014,T_white_9,I guess a refrigerator is gonna eat me now 😂💀,{},[],0,0
Tue Oct 28 20:29:17 +0000 2014,SocialInIndy,Complete Local or National Month Long Social Media Campaign for only $19.95?  Yep! http://t.co/ObMEUUFBFN,{},[],1,0
,,{},{},{},0,0
Tue Oct 28 20:29:44 +0000 2014,SSSSSsara,"*dad puts a new cookbook on the counter*
Mom: ""Is that for me?"" 
Dad: ""Yeah. Duh""
Mom: ""Well, I'm not using it. Take it back.""",{},[],0,0
Tue Oct 28 20:29:49 +0000 2014,Maddy_Henderson,RT @WeLoveFunnyTeen: Yes 😔 http://t.co/ZiuBZtTCg0,6,[],0,1
Tue Oct 28 20:29:56 +0000 2014,walter_ellis20,RT @footlocker: Never mess with The GOAT. #MJTakeover http://t.co/399NDMpxoV,283,"[{u'indices': [42, 53], u'text': u'MJTakeover'}]",0,1
,,{},{},{},0,0
Tue Oct 28 20:30:03 +0000 2014,AHealthTipPage,"Nuts, seeds, sweet potatoes, brown rice, whole-wheat bread can be a good source of complex carbs before weight lifting.",{},[],0,0
