id,created_at,text,retweet_count,ent_urls,ent_hashtags,ent_mentions,favorite_count,in_reply_to_status_id
539914354326372352,Tue Dec 02 22:49:47 +0000 2014,"A year after the violent slaying of her 6YO daughter, Lucie Mundia talks w/ the Tribune about her legal woes http://t.co/61ChjfusTY",0,"[{u'url': u'http://t.co/61ChjfusTY', u'indices': [109, 131], u'expanded_url': u'http://goo.gl/W9ovRE', u'display_url': u'goo.gl/W9ovRE'}]",[],[],0,
539880915380731904,Tue Dec 02 20:36:55 +0000 2014,Should alcohol sales be allowed on Sundays in #Indiana? Some business groups think so. http://t.co/ewtOIQcG9h,2,"[{u'url': u'http://t.co/ewtOIQcG9h', u'indices': [87, 109], u'expanded_url': u'http://goo.gl/YPqjX0', u'display_url': u'goo.gl/YPqjX0'}]","[{u'indices': [46, 54], u'text': u'Indiana'}]",[],2,
539853798290620416,Tue Dec 02 18:49:10 +0000 2014,RV industry leaders are expecting another year of growth in 2015. http://t.co/z9Vya7c2Iu,0,"[{u'url': u'http://t.co/z9Vya7c2Iu', u'indices': [66, 88], u'expanded_url': u'http://goo.gl/k9PqVH', u'display_url': u'goo.gl/k9PqVH'}]",[],[],0,
539838590167961600,Tue Dec 02 17:48:44 +0000 2014,"Schools across #Indiana have reported more than 1,200 concussions for the five-month fall sports season. http://t.co/rLkJiQOzWt",3,"[{u'url': u'http://t.co/rLkJiQOzWt', u'indices': [105, 127], u'expanded_url': u'http://goo.gl/zWy6H4', u'display_url': u'goo.gl/zWy6H4'}]","[{u'indices': [15, 23], u'text': u'Indiana'}]",[],0,
539780128524337152,Tue Dec 02 13:56:25 +0000 2014,"Corinne Quayle, mother of former VP Dan Quayle, has died. She was 92. http://t.co/NfYm59BKbA",0,"[{u'url': u'http://t.co/NfYm59BKbA', u'indices': [70, 92], u'expanded_url': u'http://goo.gl/X12mxm', u'display_url': u'goo.gl/X12mxm'}]",[],[],0,
539769152697679872,Tue Dec 02 13:12:49 +0000 2014,The ethanol plant on #SouthBend's southwest side is getting ready to get back into production. Via @KevinAllenSBT: http://t.co/0jO3Tq3UsE,1,"[{u'url': u'http://t.co/0jO3Tq3UsE', u'indices': [115, 137], u'expanded_url': u'http://goo.gl/uKtZQY', u'display_url': u'goo.gl/uKtZQY'}]","[{u'indices': [21, 31], u'text': u'SouthBend'}]","[{u'indices': [99, 113], u'screen_name': u'KevinAllenSBT', u'id': 301856650, u'name': u'Kevin Allen', u'id_str': u'301856650'}]",1,
539751930285674496,Tue Dec 02 12:04:22 +0000 2014,A season of promise has fallen apart for @NDFootball. @ND_Insider's Al Lesar looks at the issues as bowl prep starts. http://t.co/wa4ALQuyF2,1,"[{u'url': u'http://t.co/wa4ALQuyF2', u'indices': [118, 140], u'expanded_url': u'http://goo.gl/3NaHcr', u'display_url': u'goo.gl/3NaHcr'}]",[],"[{u'indices': [41, 52], u'screen_name': u'NDFootball', u'id': 712897952, u'name': u'Notre Dame Football', u'id_str': u'712897952'}, {u'indices': [54, 65], u'screen_name': u'ND_Insider', u'id': 98649589, u'name': u'NDInsider', u'id_str': u'98649589'}]",0,
539426715333033987,Mon Dec 01 14:32:05 +0000 2014,"When is a post to a social media site, like Facebook, a threat &amp; when is it protected speech? Supreme Court to decide http://t.co/lS3ajXPfam",0,"[{u'url': u'http://t.co/lS3ajXPfam', u'indices': [122, 144], u'expanded_url': u'http://goo.gl/20c8m6', u'display_url': u'goo.gl/20c8m6'}]",[],[],0,
539393034883182592,Mon Dec 01 12:18:15 +0000 2014,"With @NDFootball's blowout loss to rival @uscfootball on Saturday, what happens next? Via @EHansenNDI: http://t.co/rw4noHhMMq",0,"[{u'url': u'http://t.co/rw4noHhMMq', u'indices': [103, 125], u'expanded_url': u'http://goo.gl/nlHOfS', u'display_url': u'goo.gl/nlHOfS'}]",[],"[{u'indices': [5, 16], u'screen_name': u'NDFootball', u'id': 712897952, u'name': u'Notre Dame Football', u'id_str': u'712897952'}, {u'indices': [41, 53], u'screen_name': u'uscfootball', u'id': 16172976, u'name': u'USC Trojans Football', u'id_str': u'16172976'}, {u'indices': [90, 101], u'screen_name': u'EHansenNDI', u'id': 23494630, u'name': u'Eric Hansen', u'id_str': u'23494630'}]",1,
538718453142941696,Sat Nov 29 15:37:42 +0000 2014,"Not ending they wanted, but playoff run by New Prairie High School is still one to remember http://t.co/hLz3S9fxLo http://t.co/ijKfSIZ5O5",4,"[{u'url': u'http://t.co/hLz3S9fxLo', u'indices': [92, 114], u'expanded_url': u'http://goo.gl/YwYMyh', u'display_url': u'goo.gl/YwYMyh'}]",[],[],2,
538479994322694144,Fri Nov 28 23:50:09 +0000 2014,New Palestine takes 4A state title beating New Prairie 77-42,3,[],[],[],2,
538379137958703104,Fri Nov 28 17:09:23 +0000 2014,#DEVELOPING: A small plane has crashed in #BerrienSprings. Stay with the Tribune for the latest on this story. http://t.co/8FQnuFgiBw,2,"[{u'url': u'http://t.co/8FQnuFgiBw', u'indices': [111, 133], u'expanded_url': u'http://goo.gl/ij1Luj', u'display_url': u'goo.gl/ij1Luj'}]","[{u'indices': [0, 11], u'text': u'DEVELOPING'}, {u'indices': [42, 57], u'text': u'BerrienSprings'}]",[],0,
538357560902819840,Fri Nov 28 15:43:39 +0000 2014,At least one person has died following a house fire northwest of #Elkhart this morning. http://t.co/5vdwpuTueF http://t.co/c8tIkTjYxO,0,"[{u'url': u'http://t.co/5vdwpuTueF', u'indices': [88, 110], u'expanded_url': u'http://goo.gl/K8ivnr', u'display_url': u'goo.gl/K8ivnr'}]","[{u'indices': [65, 73], u'text': u'Elkhart'}]",[],0,
538341543526940673,Fri Nov 28 14:40:00 +0000 2014,Did you brave the cold &amp; snow for #BlackThursday deals? @TheRobFranklin may have spotted you. A gallery of photos: http://t.co/RR4bf5a3J2,1,"[{u'url': u'http://t.co/RR4bf5a3J2', u'indices': [119, 141], u'expanded_url': u'http://goo.gl/7TnOII', u'display_url': u'goo.gl/7TnOII'}]","[{u'indices': [38, 52], u'text': u'BlackThursday'}]","[{u'indices': [60, 75], u'screen_name': u'TheRobFranklin', u'id': 766709684, u'name': u'Robert Franklin', u'id_str': u'766709684'}]",1,
538319594700537856,Fri Nov 28 13:12:47 +0000 2014,"Dana Strabavy, a counselor at LaSalle Intermediate in #SouthBend, named state middle school counselor of the year http://t.co/V5AF5lFXHN",0,"[{u'url': u'http://t.co/V5AF5lFXHN', u'indices': [114, 136], u'expanded_url': u'http://goo.gl/bDfw3H', u'display_url': u'goo.gl/bDfw3H'}]","[{u'indices': [54, 64], u'text': u'SouthBend'}]",[],1,
