id,created_at,text,retweet_count,ent_urls,ent_hashtags,ent_mentions,favorite_count,in_reply_to_status_id
532669450093592576,Wed Nov 12 23:01:08 +0000 2014,Boom. I’m Best in Explorers on #QuizUp! https://t.co/4JUbr0VMX5,0,"[{u'url': u'https://t.co/4JUbr0VMX5', u'indices': [40, 63], u'expanded_url': u'https://www.quizup.com/en/topics/explorers/2014/11?scope=region&country=NC&player_id=382738173837258017&banner=lb:explorers:US:NC:month:11:2014:1&position=1&source=share', u'display_url': u'quizup.com/en/topics/expl\u2026'}]","[{u'indices': [31, 38], u'text': u'QuizUp'}]",[],0,
532666682901561344,Wed Nov 12 22:50:08 +0000 2014,Boom. I’m 3rd Best in Explorers on #QuizUp! https://t.co/cIpIRM9FtG,0,"[{u'url': u'https://t.co/cIpIRM9FtG', u'indices': [44, 67], u'expanded_url': u'https://www.quizup.com/en/topics/explorers/2014/11?scope=region&country=NC&player_id=382738173837258017&banner=lb:explorers:US:NC:month:11:2014:3&position=3&source=share', u'display_url': u'quizup.com/en/topics/expl\u2026'}]","[{u'indices': [35, 42], u'text': u'QuizUp'}]",[],0,
529442457143242754,Tue Nov 04 01:18:13 +0000 2014,Boom. I’m Top 10 in The American Civil War on #QuizUp! https://t.co/yGdplpC3qx,0,"[{u'url': u'https://t.co/yGdplpC3qx', u'indices': [55, 78], u'expanded_url': u'https://www.quizup.com/en/topics/american-civil-war/2014/11?scope=country&country=US&player_id=382738173837258017&banner=lb:american-civil-war:US:month:11:2014:9&position=9&source=share', u'display_url': u'quizup.com/en/topics/amer\u2026'}]","[{u'indices': [46, 53], u'text': u'QuizUp'}]",[],0,
523572810871234560,Sat Oct 18 20:34:20 +0000 2014,Boom. I’m 3rd Best in The Revolutionary War on #QuizUp! https://t.co/CnCmB47Is9,0,"[{u'url': u'https://t.co/CnCmB47Is9', u'indices': [56, 79], u'expanded_url': u'https://www.quizup.com/en/topics/revolutionary-war/2014/10?scope=region&country=NC&player_id=382738173837258017&banner=lb:revolutionary-war:US:NC:month:10:2014:3&position=3&source=share', u'display_url': u'quizup.com/en/topics/revo\u2026'}]","[{u'indices': [47, 54], u'text': u'QuizUp'}]",[],0,
522000654139928576,Tue Oct 14 12:27:08 +0000 2014,Good morning !! http://t.co/77Sl7Zr3Tk,0,"[{u'url': u'http://t.co/77Sl7Zr3Tk', u'indices': [16, 38], u'expanded_url': u'http://campl.us/rFIR', u'display_url': u'campl.us/rFIR'}]",[],[],0,
520006312126861312,Thu Oct 09 00:22:20 +0000 2014,Hanging out at home this evening...watching TV.,0,[],[],[],0,
519925433052459008,Wed Oct 08 19:00:57 +0000 2014,Cleaning up the garage this afternoon...nice day!!,0,[],[],[],0,
506806093235118080,Tue Sep 02 14:09:23 +0000 2014,Pretty day here in Orlando!!!,0,[],[],[],0,
503994560843108353,Mon Aug 25 19:57:21 +0000 2014,Boom. I’m Top 10 in The American Civil War on #QuizUp! https://t.co/9smeDoYwu0,0,"[{u'url': u'https://t.co/9smeDoYwu0', u'indices': [55, 78], u'expanded_url': u'https://www.quizup.com/en/topics/american-civil-war/2014/8?scope=country&country=US&player_id=382738173837258017&banner=lb:american-civil-war:US:month:8:2014:8&position=8&source=share', u'display_url': u'quizup.com/en/topics/amer\u2026'}]","[{u'indices': [46, 53], u'text': u'QuizUp'}]",[],0,
503718677997715457,Mon Aug 25 01:41:06 +0000 2014,Boom. I’m Top 10 in The American Civil War on #QuizUp! https://t.co/9smeDoYwu0,0,"[{u'url': u'https://t.co/9smeDoYwu0', u'indices': [55, 78], u'expanded_url': u'https://www.quizup.com/en/topics/american-civil-war/2014/8?scope=country&country=US&player_id=382738173837258017&banner=lb:american-civil-war:US:month:8:2014:8&position=8&source=share', u'display_url': u'quizup.com/en/topics/amer\u2026'}]","[{u'indices': [46, 53], u'text': u'QuizUp'}]",[],0,
